,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,MEAN_WITHIN_BATCH_CV,MEDIAN_WITHIN_BATCH_CV,ACROSS_BATCH_CV,NUM_CONTROLS_DETECTED,PERCENT_CONTROLS_DETECTED,TOTAL_CONTROLS,NUM_SAMPLES_DETECTED,PERCENT_SAMPLES_DETECTED,TOTAL_SAMPLES
85,519,Long Chain Fatty Acid,Lipid,myristate (14:0),544-63-8,C06424,HMDB00806,11005.0,0.137615993393969,0.0924038723001767,0.225101200400484,353.0,0.938829787234043,376.0,3498,0.949511400651466,3684
86,533,Urea cycle; Arginine and Proline Metabolism,Amino Acid,urea,57-13-6,C00086,HMDB00294,1176.0,0.0426394010391622,0.0389582040821507,0.073581770356804,345.0,0.917553191489362,376.0,3494,0.94842562432139,3684
87,535,"Pyrimidine Metabolism, Uracil containing",Nucleotide,uridine,58-96-8,C00299,HMDB00296,6029.0,0.0524811255094833,0.0451355446735014,0.0719922772134999,353.0,0.938829787234043,376.0,3515,0.954125950054289,3684
88,537,Histidine Metabolism,Amino Acid,trans-urocanate,104-98-3,C00785,HMDB00301,736715.0,0.166609594481527,0.177741153041133,0.211470982061459,344.0,0.914893617021277,376.0,3495,0.948697068403909,3684
89,561,Glutamate Metabolism,Amino Acid,glutamate,56-86-0,C00025,HMDB00148,611.0,0.0477430955232144,0.0390460667788387,0.106409077841525,352.0,0.936170212765957,376.0,3494,0.94842562432139,3684
90,563,Glutamate Metabolism,Amino Acid,glutamine,56-85-9,C00064,HMDB00641,5961.0,0.0370543763886577,0.0351188554988186,0.0466402929213019,356.0,0.946808510638298,376.0,3495,0.948697068403909,3684
91,564,"Glycine, Serine and Threonine Metabolism",Amino Acid,threonine,72-19-5,C00188,HMDB00167,6288.0,0.0471550089111671,0.0398414755841351,0.0593184289135577,343.0,0.912234042553191,376.0,3483,0.945439739413681,3684
92,565,Tryptophan Metabolism,Amino Acid,tryptophan,73-22-3,C00078,HMDB00929,6305.0,0.0529745961038947,0.0503386593084588,0.066673992143954,353.0,0.938829787234043,376.0,3493,0.948154180238871,3684
93,566,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,valine,72-18-4,C00183,HMDB00883,6287.0,0.0625514871689126,0.0432159148935158,0.0785162919013967,345.0,0.917553191489362,376.0,3462,0.939739413680782,3684
94,567,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,nicotinate,59-67-6,C00253,HMDB01488,938.0,0.308038496006184,0.32099151640902,0.427816387982471,107.0,0.284574468085106,376.0,447,0.121335504885994,3684
95,572,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,glucose,50-99-7,C00031,HMDB00122,5793.0,0.0499547044219805,0.0424577653677586,0.0693131578506315,344.0,0.914893617021277,376.0,3515,0.954125950054289,3684
96,796,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,alpha-ketobutyrate,600-18-0,C00109,HMDB00005,58.0,0.114622685095143,0.0898757037079999,0.142644336591254,343.0,0.912234042553191,376.0,3497,0.949239956568947,3684
97,798,"Purine Metabolism, Adenine containing",Nucleotide,adenosine,58-61-7,C00212,HMDB00050,60961.0,0.264591092104799,0.254185750059682,0.284437268513581,270.0,0.718085106382979,376.0,2897,0.786373507057546,3684
98,799,"Glycine, Serine and Threonine Metabolism",Amino Acid,betaine,107-43-7,C00719,HMDB00043,247.0,0.0401957443156687,0.032560929279842,0.051373123615445,346.0,0.920212765957447,376.0,3490,0.947339847991314,3684
